Age,Attrition,Department,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Sales,1,2,1,2,Female,3,2,Sales Executive,4,5993,Yes,11,3,1,8,0,1,6,4,0,5
49,No,Research & Development,8,1,1,3,Male,2,2,Research Scientist,2,5130,No,23,4,4,10,3,3,10,7,1,7
37,Yes,Research & Development,2,2,1,4,Male,2,1,Laboratory Technician,3,2090,Yes,15,3,2,7,3,3,0,0,0,0
33,No,Research & Development,3,4,1,4,Female,3,1,Research Scientist,3,2909,Yes,11,3,3,8,3,3,8,7,3,0
27,No,Research & Development,2,1,1,1,Male,3,1,Laboratory Technician,2,3468,No,12,3,4,6,3,3,2,2,2,2
32,No,Research & Development,2,2,1,4,Male,3,1,Laboratory Technician,4,3068,No,13,3,3,8,2,2,7,7,3,6
59,No,Research & Development,3,3,1,3,Female,4,1,Laboratory Technician,1,2670,Yes,20,4,1,12,3,2,1,0,0,0
30,No,Research & Development,24,1,1,4,Male,3,1,Laboratory Technician,3,2693,No,22,4,2,1,2,3,1,0,0,0
38,No,Research & Development,23,3,1,4,Male,2,3,Manufacturing Director,3,9526,No,21,4,2,10,2,3,9,7,1,8
36,No,Research & Development,27,3,1,3,Male,3,2,Healthcare Representative,3,5237,No,13,3,2,17,3,2,7,7,7,7
35,No,Research & Development,16,3,1,1,Male,4,1,Laboratory Technician,2,2426,No,13,3,3,6,5,3,5,4,0,3
29,No,Research & Development,15,2,1,4,Female,2,2,Laboratory Technician,3,4193,Yes,12,3,4,10,3,3,9,5,0,8
31,No,Research & Development,26,1,1,1,Male,3,1,Research Scientist,3,2911,No,17,3,4,5,1,2,5,2,4,3
34,No,Research & Development,19,2,1,2,Male,3,1,Laboratory Technician,4,2661,No,11,3,3,3,2,3,2,2,1,2
28,Yes,Research & Development,24,3,1,3,Male,2,1,Laboratory Technician,3,2028,Yes,14,3,2,6,4,3,4,2,0,3
29,No,Research & Development,21,4,1,2,Female,4,3,Manufacturing Director,1,9980,No,11,3,3,10,1,3,10,9,8,8
32,No,Research & Development,5,2,1,1,Male,4,1,Research Scientist,2,3298,Yes,12,3,4,7,5,2,6,2,0,5
22,No,Research & Development,16,2,1,4,Male,4,1,Laboratory Technician,4,2935,Yes,13,3,2,1,2,2,1,0,0,0
53,No,Sales,2,4,1,1,Female,2,4,Manager,4,15427,No,16,3,3,31,3,3,25,8,3,7
38,No,Research & Development,2,3,1,4,Male,3,1,Research Scientist,4,3944,Yes,11,3,3,6,3,3,3,2,1,2
24,No,Research & Development,11,2,1,1,Female,4,2,Manufacturing Director,3,4011,No,18,3,4,5,5,2,4,2,1,3
36,Yes,Sales,9,4,1,3,Male,2,1,Sales Representative,1,3407,No,23,4,2,10,4,3,5,3,0,3
34,No,Research & Development,7,4,1,1,Female,3,3,Research Director,2,11994,No,11,3,3,13,4,3,12,6,2,11
21,No,Research & Development,15,2,1,3,Male,3,1,Research Scientist,4,1232,No,14,3,4,0,6,3,0,0,0,0
34,Yes,Research & Development,6,1,1,2,Male,3,1,Research Scientist,1,2960,No,11,3,3,8,2,3,4,2,1,3
53,No,Research & Development,5,3,1,3,Female,3,5,Manager,3,19094,No,11,3,4,26,3,2,14,13,4,8
32,Yes,Research & Development,16,1,1,2,Female,1,1,Research Scientist,1,3919,Yes,22,4,2,10,5,3,10,2,6,7
42,No,Sales,8,4,1,3,Male,3,2,Sales Executive,2,6825,No,11,3,4,10,2,3,9,7,4,2
44,No,Research & Development,7,4,1,1,Female,2,3,Healthcare Representative,4,10248,No,14,3,4,24,4,3,22,6,5,17
46,No,Sales,2,4,1,2,Female,3,5,Manager,1,18947,No,12,3,4,22,2,2,2,2,2,1
33,No,Research & Development,2,3,1,3,Male,3,1,Laboratory Technician,4,2496,No,11,3,4,7,3,3,1,1,0,0
44,No,Research & Development,10,4,1,4,Male,3,2,Healthcare Representative,4,6465,Yes,13,3,4,9,5,4,4,2,1,3
30,No,Research & Development,9,2,1,4,Male,2,1,Laboratory Technician,3,2206,No,13,3,1,10,5,3,10,0,1,8
39,Yes,Sales,5,3,1,4,Male,3,2,Sales Representative,4,2086,No,14,3,3,19,6,4,1,0,0,0
24,Yes,Research & Development,1,3,1,2,Male,3,1,Research Scientist,4,2293,Yes,16,3,1,6,2,2,2,0,2,0
43,No,Research & Development,2,2,1,4,Female,4,1,Research Scientist,3,2645,No,12,3,4,6,3,2,5,3,1,4
50,Yes,Sales,3,2,1,1,Male,2,1,Sales Representative,3,2683,Yes,14,3,3,3,2,3,3,2,0,2
35,No,Sales,2,3,1,4,Female,3,1,Sales Representative,4,2014,No,13,3,1,2,3,3,2,2,2,2
36,No,Research & Development,5,4,1,2,Female,2,1,Research Scientist,1,3419,Yes,14,3,4,6,3,4,1,1,0,0
33,No,Sales,1,3,1,3,Female,4,2,Sales Executive,1,5376,No,19,3,1,10,3,3,5,3,1,3
35,No,Research & Development,4,2,1,3,Male,3,1,Laboratory Technician,4,1951,No,12,3,3,1,3,3,1,0,0,0
27,No,Research & Development,2,4,1,4,Female,3,1,Laboratory Technician,1,2341,No,13,3,4,1,6,3,1,0,0,0
26,Yes,Research & Development,25,3,1,1,Male,1,1,Laboratory Technician,3,2293,No,12,3,3,1,2,2,1,0,0,1
27,No,Sales,8,3,1,4,Male,3,3,Sales Executive,3,8726,No,15,3,4,9,0,3,9,8,1,7
